[CH3]C(=O)[NH][CH2][CH2][NH]C(=O)[CH3]  CC(=O)NCCNC(C)=O  ABAWEG01
[CH3]Oc1[cH][cH]c([cH][cH]1)C1=NC([CH3])(OC21C(=O)N([CH3])c1[cH][cH][cH][cH]c21)C(=O)O[CH3]  COc1ccc(cc1)C1=NC(C)(OC21C(=O)N(C)c1ccccc21)C(=O)OC  ASOLUQ
[CH2]1[CH2]C21OC12[CH2]N([CH2]1)[CH](c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  C1CC21OC12CN(C1)C(c1ccccc1)c1ccccc1  ASUNAE
[CH3][CH]=[CH]C1=[CH][CH]([OH])[CH]([OH])C1=O  CC=CC1=CC(O)C(O)C1=O  ATUHEC
[CH3]C(=Nc1[cH]c([cH][cH]c1C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3])C(=Nc1[cH]c([cH][cH]c1C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3])[CH3]  CC(=Nc1cc(ccc1C(C)(C)C)C(C)(C)C)C(C)=Nc1cc(ccc1C(C)(C)C)C(C)(C)C  ATUNAF
[CH3]c1[cH]c([CH3])[cH]c([cH]1)N=C1C(=O)c2[cH][cH][cH]c3[cH][cH][cH]c1c23  Cc1cc(C)cc(c1)N=C1C(=O)c2cccc3cccc1c23  ATUNOT
[CH3]c1[cH][cH][cH]c([CH3])c1N=C1C(=O)c2[cH][cH][cH]c3[cH][cH][cH]c1c23  Cc1cccc(C)c1N=C1C(=O)c2cccc3cccc1c23  ATUPAH
[CH3]C(=O)[NH]c1[cH][cH]c([NH2])[cH]c1N(=O)=O  CC(=O)Nc1ccc(N)cc1N(=O)=O  AVOJUR
[CH3][CH]([CH3])[CH]1[CH2][CH2]N([CH]1C(=O)[OH])C(=O)O[CH2]c1[cH][cH][cH][cH][cH]1  CC(C)C1CCN(C1C(O)=O)C(=O)OCc1ccccc1  AWAVUQ
O=C1O[CH]2[CH]3[CH2][CH]([CH]=[CH]3)[CH]2[CH]1[NH]c1[cH][cH]c([cH]c1N(=O)=O)N(=O)=O  O=C1OC2C3CC(C=C3)C2C1Nc1ccc(cc1N(=O)=O)N(=O)=O  AXEGAM
[CH3]C(C#N)(c1[cH][cH][cH][cH][cH]1)C(=O)C([CH3])(C#N)c1[cH][cH][cH][cH][cH]1  CC(C#N)(c1ccccc1)C(=O)C(C)(C#N)c1ccccc1  AXOQOU
[CH3]C(=O)Oc1[cH][cH][cH][cH][cH]1  CC(=O)Oc1ccccc1  AXUDIH
[CH2]1[CH2][CH2]c2c([CH2]1)nc([NH]c1[cH][cH][cH][cH][cH]1)n2c1[cH][cH][cH][cH][cH]1  C1CCC2=C(C1)N=C(Nc1ccccc1)N2c1ccccc1  AYATEA
[CH3][CH2]OC(=O)C(=[CH]c1[cH][cH][cH]n1[CH3])C#N  CCOC(=O)C(=CC1=CC=CN1C)C#N  AYUGEH
[CH3][CH2]OC(=O)c1c(onc1[CH3])C(=NN=C([CH3])c1c(C(=O)O[CH2][CH3])c(no1)[CH3])[CH3]  CCOC(=O)C1=C(ON=C1C)C(C)=NN=C(C)C1=C(C(=O)OCC)C(=NO1)C  AYUGIL
[OH]C(=O)[CH]([CH2]c1[cH][nH]c2[cH][cH][cH][cH]c12)[NH+]=[CH]c1[cH][cH][cH]c([OH])c1[O-]  OC(=O)C(CC1=CNc2ccccc12)[NH+]=Cc1cccc(O)c1[O-]  AYUVOG
O=c1[nH]c2c([CH2][CH2]c3[cH][cH][cH][cH]c23)c(c1C#N)c1[cH][cH][cH][cH][cH]1  O=C1NC2=C(CCc3ccccc23)C(=C1C#N)c1ccccc1  AZAMOE
[CH2]1[CH2][CH]2[CH2][CH]1[CH2][CH]2[CH]1[CH2][CH]2[CH2][CH2][CH]1[CH2]2  C1CC2CC1CC2C1CC2CCC1C2  AZIBEQ
[CH3]c1c(n[cH]n1c1[cH][cH][cH][cH][cH]1)N(=O)=O  CC1=C(N=CN1c1ccccc1)N(=O)=O  AZIQIJ
[CH3]C([CH3])([CH3])N([O])c1[cH]c([cH]c([cH]1)c1[cH][cH][cH][cH][cH]1)N([O])C([CH3])([CH3])[CH3]  CC(C)(C)N([O])c1cc(cc(c1)c1ccccc1)N([O])C(C)(C)C  AZOMAD
[CH3][CH2][CH2]c1nc2[cH]c([cH][cH]c2n1[CH2][CH2][OH])C(=O)O[CH2][CH3]  CCCC1=Nc2cc(ccc2N1CCO)C(=O)OCC  AZUPUH
[CH3][CH2]C([CH3])([CH3])c1[cH]c(O[CH3])c([cH]c1O[CH3])C([CH3])([CH3])[CH2][CH3]  CCC(C)(C)c1cc(OC)c(cc1OC)C(C)(C)CC  AZUQOC
[CH3]C(=O)O[CH2][CH]1O[CH]([CH]=[CH][CH]1OC(=O)[CH3])c1[cH]n(nn1)c1[cH][cH][cH][cH][cH]1  CC(=O)OCC1OC(C=CC1OC(C)=O)C1=CN(N=N1)c1ccccc1  AZUYEA
[CH3]n1n(c2[cH][cH][cH][cH][cH]2)c(=O)c(c1[CH3])c1nc2[cH][cH][cH][cH]c2[nH]1  CN1N(c2ccccc2)C(=O)C(=C1C)C1=Nc2ccccc2N1  BABBOX
[CH3]C12[CH2][CH]([CH2]OC(=O)c3[cH][cH][cH][cH][cH]3)C1([OH])[CH2]C(=O)[CH2]2  CC12CC(COC(=O)c3ccccc3)C1(O)CC(=O)C2  BABYOU
[CH3]OC(=O)c1[cH]c(c([nH+]n1)[CH]=C([O-])c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  COC(=O)c1cc(c([nH+]n1)C=C([O-])c1ccccc1)c1ccccc1  BAFDIX
O=c1n(c(=O)c2[cH][cH][cH]c3[cH][cH][cH]c1c23)c1[cH][cH][cH][cH]c1O[CH2]C#[CH]  O=C1N(C(=O)c2cccc3cccc1c23)c1ccccc1OCC#C  BAFPEF
O=C([CH]=C1[CH2][CH]([NH]c2n[cH][cH][cH]c2[NH]1)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  O=C(C=C1CC(Nc2ncccc2N1)c1ccccc1)c1ccccc1  BAJYOB
[CH3][CH]([CH3])[CH2]C1=C(C(=O)[NH]C1=O)c1[cH][cH]c(O[CH2][CH]=C([CH3])[CH3])[cH][cH]1  CC(C)CC1=C(C(=O)NC1=O)c1ccc(OCC=C(C)C)cc1  BELWUL
[OH][CH]1[CH2]Oc2[cH][cH]c3[cH][cH][cH][cH]c3c2[CH]1c1[cH][cH][cH][cH][cH]1  OC1COc2ccc3ccccc3c2C1c1ccccc1  BEWPAV
[CH3][CH2]C12[CH2][CH2]C([CH3])([NH]C1=O)[NH]C2=O  CCC12CCC(C)(NC1=O)NC2=O  BEXMIB
O=C1[NH]C2([CH2][CH2][CH]1C(=O)[NH]2)c1[cH][cH][cH][cH][cH]1  O=C1NC2(CCC1C(=O)N2)c1ccccc1  BEXMUN
O=C1[CH2][CH2]C2=C(C#N)c3[cH]c4O[CH2]Oc4[cH]c3[CH2][CH2]N12  O=C1CCC2=C(C#N)c3cc4OCOc4cc3CCN12  BEXXUY
[CH3][CH]1OC(=O)[CH]([CH3])OC1=O  CC1OC(=O)C(C)OC1=O  BEYDEO01
[OH][CH2][CH2][NH+]([CH2][CH2][OH])[CH2]C(=O)[O-]  OCC[NH+](CCO)CC(=O)[O-]  BICINE01
[CH3][CH]1OC(=O)[CH]([CH3])OC1=O  CC1OC(=O)C(C)OC1=O  BICVIS02
[CH3]C([CH3])([CH3])OC(=O)[NH2]  CC(C)(C)OC(N)=O  BIFPEL01
[CH3]Oc1[cH][cH]c([cH][cH]1)[CH]1[CH2]C(=O)[CH2]C(=C([CH3])[CH3])C(=C([CH3])[CH3])[CH2]1  COc1ccc(cc1)C1CC(=O)CC(=C(C)C)C(C1)=C(C)C  BIJYID
[CH3]OC(=O)[CH]=[CH][CH]1[CH]2[CH2][CH2][CH]3[CH]2C([CH3])([CH3])[CH2][CH2][CH2]C13[CH3]  COC(=O)C=CC1C2CCC3C2C(C)(C)CCCC13C  BIVLEY
[OH][CH2][CH]1O[CH](O[CH]2[CH]([OH])[CH]([OH])[CH]([OH])O[CH]2[CH2][OH])[CH]([OH])[CH]([OH])[CH]1[OH]  OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O  BLACTO02
[OH]c1[cH]c2C(=O)c3[cH][cH][cH][cH]c3C(=O)c2[cH]c1[CH]=O  Oc1cc2C(=O)c3ccccc3C(=O)c2cc1C=O  BOGWEA
[CH3]O[CH]1O[CH]([CH]([OH])[CH](N=[N+]=[N-])C(=O)O[CH3])C2([OH])[CH]([OH])[CH2]O[CH]12  COC1OC(C(O)C(N=[N+]=[N-])C(=O)OC)C2(O)C(O)COC12  BOKSIE
[CH3][NH]C(=O)[CH]([OH])C#N  CNC(=O)C(O)C#N  BOLZIL
[CH3]c1[cH][cH]c([NH]C(=Nc2[cH][cH]c([CH3])[cH][cH]2)n2[cH]nc(c2[CH3])[CH3])[cH][cH]1  Cc1ccc(NC(=Nc2ccc(C)cc2)N2C=NC(=C2C)C)cc1  BORSUX
[CH3][CH]([CH3])[NH]C(=N[CH]([CH3])[CH3])n1c(nc(c1[CH3])[CH3])[CH3]  CC(C)NC(=NC(C)C)N1C(=NC(=C1C)C)C  BORTOS
[CH3]OC1([CH2]C(=O)c2[cH][cH][cH][cH][cH]2)OC(=O)C(=C1c1[cH][cH][cH][cH][cH]1)[OH]  COC1(CC(=O)c2ccccc2)OC(=O)C(=C1c1ccccc1)O  BOSJID
[N-]=[N+]=N[CH](N=[N+]=[N-])c1[cH]c([CH](N=[N+]=[N-])N=[N+]=[N-])c([cH]c1[CH](N=[N+]=[N-])N=[N+]=[N-])[CH](N=[N+]=[N-])N=[N+]=[N-]  [N-]=[N+]=NC(N=[N+]=[N-])c1cc(C(N=[N+]=[N-])N=[N+]=[N-])c(cc1C(N=[N+]=[N-])N=[N+]=[N-])C(N=[N+]=[N-])N=[N+]=[N-]  BOTWAJ
[CH3]c1c2[CH](c3[cH][cH][cH][cH][cH]3)C(=C([NH2])Oc2n[nH]1)C#N  CC1=C2C(c3ccccc3)C(=C(N)OC2=NN1)C#N  BOYZUL
[CH3]n1[cH]c(c(n1)C(=O)[OH])N(=O)=O  CN1C=C(C(=N1)C(O)=O)N(=O)=O  BOZGED
[CH3]C(=O)O[CH]1[CH]2[CH2][CH]([OH])[CH]([OH])[CH2][CH]([NH]2)[CH](OC(=O)[CH3])[CH]1OC(=O)[CH3]  CC(=O)OC1C2CC(O)C(O)CC(N2)C(OC(C)=O)C1OC(C)=O  BOZZAS
O=C(c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  O=C(c1ccccc1)c1ccccc1  BPHENO12
[CH3]Oc1c([CH2][CH]=C([CH3])[CH3])c([CH]=O)[cH]c2c1[nH]c1[cH][cH][cH][cH]c21  COc1c(CC=C(C)C)c(C=O)cc2c1Nc1ccccc21  BUDWIH
[NH]([CH]1[CH]2N([CH]3[CH]([NH]c4[cH][cH][cH][cH][cH]4)N([CH]([CH](N1c1[cH][cH][cH][cH][cH]1)N2c1[cH][cH][cH][cH][cH]1)N3c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  N(C1C2N(C3C(Nc4ccccc4)N(C(C(N1c1ccccc1)N2c1ccccc1)N3c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1  BUFKAP
O=c1[nH]c2[cH][cH][cH][cH]c2o1  O=C1Nc2ccccc2O1  BZOXZO01
[CH3]C1([CH3])[CH2][CH2][CH2]C2([CH2][CH2]C(=O)O[CH2]2)[CH]1[CH2][OH]  CC1(C)CCCC2(CCC(=O)OC2)C1CO  CAGMEE
O=C1[CH]=[CH][CH]2[CH2]C3=[CH][CH2][CH2]C13O2  O=C1C=CC2CC3=CCCC13O2  CAJDIC
[CH3]C1([CH2]C([CH3])([CH2]C([CH3])([CH2]1)N=C=O)N=C=O)N=C=O  CC1(CC(C)(CC(C)(C1)N=C=O)N=C=O)N=C=O  CAKREM
[CH3][CH2][CH2][CH2][CH2][CH2][CH2]Oc1[cH][cH]c([cH][cH]1)N=Nc1c([CH3])c([CH3])c(N=Nc2[cH][cH]c(O[CH2][CH2][CH2][CH2][CH2][CH2][CH3])[cH][cH]2)c([CH3])c1[CH3]  CCCCCCCOc1ccc(cc1)N=Nc1c(C)c(C)c(N=Nc2ccc(OCCCCCCC)cc2)c(C)c1C  CAMWIY
[CH3]Oc1[cH][cH]c2OC3([CH2][CH2]c4[cH][cH][cH]c(O[CH3])c4O3)[CH2]c2[cH]1  COc1ccc2OC3(CCc4cccc(OC)c4O3)Cc2c1  CASGAF
[OH]c1[cH][cH][cH][cH]c1[OH]  Oc1ccccc1O  CATCOL13
[CH3]OC(=O)c1[cH][cH]c([OH])[cH][cH]1  COC(=O)c1ccc(O)cc1  CEBGOF03
[CH3]Oc1[cH][cH]c([CH]=[CH]C(=O)c2[cH][cH]c(O[CH3])c(O[CH3])[cH]2)[cH][cH]1  COc1ccc(C=CC(=O)c2ccc(OC)c(OC)c2)cc1  CICMEH
[CH3]OC(=O)[CH]=[CH][CH]1[CH2]N(C(=O)N1C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3]  COC(=O)C=CC1CN(C(=O)N1C(C)(C)C)C(C)(C)C  CIFLUZ
[OH]C(=O)[CH]=[CH]c1[cH][cH][cH][cH][cH]1  OC(=O)C=Cc1ccccc1  CINMAC07
[CH3]C([CH3])([CH3])OC#CC#COC([CH3])([CH3])[CH3]  CC(C)(C)OC#CC#COC(C)(C)C  CITQAY
O=C1[NH][CH]([CH2]c2[cH][cH][cH][cH][cH]2)C(=O)N2[CH2][CH2][CH2][CH]12  O=C1NC(Cc2ccccc2)C(=O)N2CCCC12  CITXAE11
[CH3][CH2][CH2][CH2][CH2][CH2]C#Cc1c2[cH]c3[cH][cH][cH][cH]c3[cH]c2c(C#C[CH2][CH2][CH2][CH2][CH2][CH3])c2[cH]c3[cH][cH][cH][cH]c3[cH]c12  CCCCCCC#Cc1c2cc3ccccc3cc2c(C#CCCCCCC)c2cc3ccccc3cc12  CIZCIY
[CH3]c1[cH][cH][cH]c([CH3])c1OC(=O)n1[cH][cH]n[cH]1  Cc1cccc(C)c1OC(=O)N1C=CN=C1  CIZXUF
[CH3]OC(=O)C12[CH]([CH2][CH2][CH2]C1=N[NH]c1[cH][cH]c([cH]c1N(=O)=O)N(=O)=O)C2=C=[CH2]  COC(=O)C12C(CCCC1=NNc1ccc(cc1N(=O)=O)N(=O)=O)C2=C=C  COHYEE
[CH3]C12[CH2][CH]3[CH2][CH2][CH]1C3([OH])OC2=O  CC12CC3CCC1C3(O)OC2=O  COQZEO
[CH3]C([CH3])([CH3])OC(=O)[CH]1[CH2]C(=NN1N=O)c1[cH][cH][cH][cH][cH]1  CC(C)(C)OC(=O)C1CC(=NN1N=O)c1ccccc1  COSKOL
O=c1oc2[cH][cH][cH][cH]c2[cH][cH]1  O=C1Oc2ccccc2C=C1  COUMAR11
O=N(=O)c1nn([CH2]C#N)nn1  O=N(=O)C1=NN(CC#N)N=N1  COXXOD
[CH3]Oc1[cH][cH]c([OH])c([CH]=N[CH]([CH3])c2[cH][cH][cH][cH][cH]2)[cH]1  COc1ccc(O)c(C=NC(C)c2ccccc2)c1  CUCVEC
[CH3]C(=N[OH])C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]n1  CC(=NO)C(=O)NN=Cc1ccccn1  CUDBEJ
[cH]1[cH][cH]c([cH][cH]1)c1[cH]c2nc3[cH][cH][cH][cH]c3nc2c2c(nnn12)c1[cH][cH][cH][cH][cH]1  c1ccc(cc1)C1=Cc2nc3ccccc3nc2C2=C(N=NN12)c1ccccc1  CUNDAR
[OH]C(=O)c1[cH][cH]c2C(=O)N(c3[cH][cH]n[cH][cH]3)C(=O)c2[cH]1  OC(=O)c1ccc2C(=O)N(c3ccncc3)C(=O)c2c1  CUNWIS
[CH3]C1([CH3])C2([CH3])[CH2][CH2]C1(OC2=O)C(=O)O[CH]1[CH]2O[CH]3O[CH]([CH]2[OH])[CH]([OH])[CH]1O3  CC1(C)C2(C)CCC1(OC2=O)C(=O)OC1C2OC3OC(C2O)C(O)C1O3  CUTWAQ
[CH3]O[CH]1O[CH]2[CH2][CH]1[CH]([CH2]2)N(=O)=O  COC1OC2CC1C(C2)N(=O)=O  CUZXAX
[OH]C(=O)[CH]1[CH2][CH2][CH2][CH2][CH]1C(=O)[OH]  OC(=O)C1CCCCC1C(O)=O  CYHCAC11
[CH3]N1C(=O)[CH]2[CH]([NH]C(=O)[CH3])[CH]=C([CH3])[CH]([CH2][CH]=C([CH3])[CH3])[CH]2C1=O  CN1C(=O)C2C(NC(C)=O)C=C(C)C(CC=C(C)C)C2C1=O  DACWIP
[OH]N=C1[CH2][CH2][CH2]C21[CH2][CH2][CH2]C2=N[OH]  ON=C1CCCC21CCCC2=NO  DAFSUZ
[CH2]1[CH2][CH2]N([CH2][CH2]1)[CH2][CH2]N1[CH2][CH2][CH2][CH2][CH2]1  C1CCN(CC1)CCN1CCCCC1  DAGLII
[CH2]1[CH2][CH2]N([CH2]1)[CH2][CH2]N1[CH2][CH2][CH2][CH2]1  C1CCN(C1)CCN1CCCC1  DAGLOO
[CH3][CH2]OC(=O)[CH]1[NH][CH]1C(=O)[NH][CH2]C(=O)[NH][CH2]C(=O)O[CH2]c1[cH][cH][cH][cH][cH]1  CCOC(=O)C1NC1C(=O)NCC(=O)NCC(=O)OCc1ccccc1  DAKCOI
[CH3]Oc1[cH][cH]c([cH][cH]1)[CH]=C1N([CH3])C(=O)c2[cH][cH][cH][cH]c12  COc1ccc(cc1)C=C1N(C)C(=O)c2ccccc12  DAKYOE
[CH3]C(=O)O[CH]1[CH]2O[CH](O[CH]2[OH])C2([CH2][CH2][CH2][CH2]C12OC(=O)[CH3])OC(=O)[CH3]  CC(=O)OC1C2OC(OC2O)C2(CCCCC12OC(C)=O)OC(C)=O  DAPSIX
[OH][CH]1[CH]([OH])C2([OH])[CH2][CH2][CH2][CH2]C32[CH2]O[CH]1O3  OC1C(O)C2(O)CCCCC32COC1O3  DAPTEU
[CH3]C1([CH3])O[CH2]C2(O[CH2][CH]3OC([CH3])([CH3])O[CH]3[CH]2O[CH2]c2[cH][cH][cH][cH][cH]2)O1  CC1(C)OCC2(OCC3OC(C)(C)OC3C2OCc2ccccc2)O1  DAXJES
[CH3][CH]([CH3])[CH](OC(=O)c1[cH][cH]c([cH][cH]1)N(=O)=O)C1=C([CH3])[CH2][CH]2[CH]1C2([CH3])[CH3]  CC(C)C(OC(=O)c1ccc(cc1)N(=O)=O)C1=C(C)CC2C1C2(C)C  DAXJIW
[NH](N=Nc1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  N(N=Nc1ccccc1)c1ccccc1  DAZABZ02
[CH3][CH2]OC(=O)c1[cH]o[cH]c1C(=O)[OH]  CCOC(=O)C1=COC=C1C(O)=O  DEGMEI
[CH3][CH2]C(=O)[CH]=[CH]C(=[CH]C(=O)O[CH3])[OH]  CCC(=O)C=CC(O)=CC(=O)OC  DEQZUV
[CH3]Oc1[cH][cH]c([CH]=Nc2[cH][cH]c([cH][cH]2)N=[CH]c2[cH][cH]c(O[CH3])c(O[CH3])[cH]2)[cH]c1O[CH3]  COc1ccc(C=Nc2ccc(cc2)N=Cc2ccc(OC)c(OC)c2)cc1OC  DEWSUU
[CH3]Oc1[cH][cH]c([cH][cH]1)[CH]1[NH][CH]2[CH]([CH2]c3[cH][cH][cH][cH]c23)O1  COc1ccc(cc1)C1NC2C(Cc3ccccc23)O1  DEXSIJ
[CH3]C(=[NH])[NH]C([CH3])([CH3])[CH3]  CC(=N)NC(C)(C)C  DIBMIL
[CH3][CH]([CH]=C([CH3])c1[cH][cH][cH][cH][cH]1)C(=O)N1[CH]([CH2]OC1=O)c1[cH][cH][cH][cH][cH]1  CC(C=C(C)c1ccccc1)C(=O)N1C(COC1=O)c1ccccc1  DIFVAQ
[CH3]C12[CH2][CH]3[CH2][CH]4[CH2][CH2]C(=O)[CH]=C4[CH2][CH]3[CH2][CH]1[CH2][CH2][CH]2[OH]  CC12CC3CC4CCC(=O)C=C4CC3CC1CCC2O  DIGRIV
[CH3]OC(=O)[CH]1[CH2]C2([CH3])N([CH3])C1([CH3])C(=O)[NH]C2=[CH2]  COC(=O)C1CC2(C)N(C)C1(C)C(=O)NC2=C  DIGVUL
[CH3][CH2]C(=O)C1([CH2][CH3])[NH]C(=O)C2([CH3])[CH2][CH]1C(=O)N2[CH3]  CCC(=O)C1(CC)NC(=O)C2(C)CC1C(=O)N2C  DIGWAS
[CH3][CH]([CH3])[NH]C(=C(C#N)C(=O)[NH2])[OH]  CC(C)NC(O)=C(C#N)C(N)=O  DIJHIO
[OH]C1(c2[cH][cH][cH][cH][cH]2)c2[cH][cH][cH][cH]c2C([OH])(c2[cH][cH][cH][cH][cH]2)c2[cH][cH][cH][cH]c12  OC1(c2ccccc2)c2ccccc2C(O)(c2ccccc2)c2ccccc12  DIKCOP01
[OH]c1[cH][cH][cH][cH]c1[CH]=N[CH2][CH2][CH2][CH2][CH2]N=[CH]c1[cH][cH][cH][cH]c1[OH]  Oc1ccccc1C=NCCCCCN=Cc1ccccc1O  DIKXAX
[OH]C(=O)c1[cH][nH+][cH]c([cH]1)C(=O)[O-]  OC(=O)c1c[nH+]cc(c1)C(=O)[O-]  DINICA11
[CH3]n1nnc2c(n[cH]n2c1=O)C(=O)[NH2]  CN1N=NC2=C(N=CN2C1=O)C(N)=O  DIPGIS12
[CH3]c1[cH][cH][cH]c([NH]C(=O)[CH2]Oc2[cH][cH]c3[cH][cH]c([OH])[cH]c3[cH]2)n1  Cc1cccc(NC(=O)COc2ccc3ccc(O)cc3c2)n1  DIWPUV
[CH3]C1([CH3])[CH2]C(=N[OH])C([CH3])([CH3])C(=N[OH])[CH2]1  CC1(C)CC(=NO)C(C)(C)C(C1)=NO  DIXLIF
[CH3]C1([CH3])[CH2]C(=O)c2c([CH2]1)n(c(=O)c([cH]2)C(=O)[NH2])c1[cH][cH][cH][cH][cH]1  CC1(C)CC(=O)C2=C(C1)N(C(=O)C(=C2)C(N)=O)c1ccccc1  DIYQEI
[CH3]n1nnn([NH2])c1=[NH]  CN1N=NN(N)C1=N  DIZTOW
[CH3]OC(=O)C(=O)O[CH3]  COC(=O)C(=O)OC  DMEOXA06
O=N(=O)c1[cH][cH][cH]c([cH]1)N(=O)=O  O=N(=O)c1cccc(c1)N(=O)=O  DNBENZ11
[CH3]Oc1[cH][cH]c([CH2]N2[CH]([NH]C(=O)[CH3])[CH]([OH])[CH2][CH2]C2=O)[cH][cH]1  COc1ccc(CN2C(NC(C)=O)C(O)CCC2=O)cc1  DOCCUU
[CH3]Oc1[cH][cH]c([CH2]N2[CH]([NH]C(=O)[CH]([CH3])[CH3])[CH]([OH])[CH2][CH2]C2=O)[cH][cH]1  COc1ccc(CN2C(NC(=O)C(C)C)C(O)CCC2=O)cc1  DOCDAB
